Model,Price,Fab,Chiplets,"Cores
(threads)",Core config[i],Clock rate (GHz),,Cache,,,"Socket &
configuration",TDP
,,,,,,Base,Boost,L1,L2,L3,,
EPYC 7763,US $7890,7 nm,"8 × CCD
1 × I/O",64 (128),8 × 8,2.45,3.5,"32 KB inst.
32 KB data
per core","512 KB
per core","256 MB
32 MB per CCX","SP3
2P",280 W
EPYC 7713,US $7060,,,,,2,3.675,,,,,225 W
EPYC 7713P,US $5010,,,,,,,,,,"SP3
1P",
EPYC 7663,US $6366,,,56 (112),8 × 7,2,3.5,,,,"SP3
2P",240 W
EPYC 7643,US $4995,,,48 (96),8 × 6,2.3,3.6,,,,,225 W
EPYC 75F3,US $4860,,,32 (64),8 × 4,2.95,4,,,,,280 W
EPYC 7543,US $3761,,,,,2.8,3.7,,,,,225 W
EPYC 7543P,US $2730,,,,,,,,,,"SP3
1P",
EPYC 7513,US $2840,,,,,2.6,3.65,,,"128 MB
16 MB per CCX","SP3
2P",200 W
EPYC 7453,US $1570,,"4 × CCD
1 × I/O",28 (56),4 × 7,2.75,3.45,,,"64 MB
16 MB per CCX",,225 W
EPYC 74F3,US $2900,,"8 × CCD
1 × I/O",24 (48),8 × 3,3.2,4,,,"256 MB
32 MB per CCX",,240 W
EPYC 7443,US $2010,,"4 × CCD
1 × I/O",,4 × 6,2.85,4,,,"128 MB
32 MB per CCX",,200 W
EPYC 7443P,US $1337,,,,,,,,,,"SP3
1P",
EPYC 7413,US $1825,,,,,2.65,3.6,,,,"SP3
2P",180 W
EPYC 73F3,US $3521,,"8 × CCD
1 × I/O",16 (32),8 × 2,3.5,4,,,"256 MB
32 MB per CCX",,240 W
EPYC 7343,US $1565,,"4 × CCD
1 × I/O",,4 × 4,3.2,3.9,,,"128 MB
32 MB per CCX",,190 W
EPYC 7313,US $1083,,,,,3,3.7,,,,,155 W
EPYC 7313P,US $913,,,,,,,,,,"SP3
1P",
EPYC 72F3,US $2468,,"8 × CCD
1 × I/O",8 (16),8 × 1,3.7,4.1,,,"256 MB
32 MB per CCX","SP3
2P",180 W
