processor
Xeon D-1513N
Xeon D-1518
Xeon D-1520
Xeon D-1521
Xeon D-1523N
Xeon D-1527
Xeon D-1529
Xeon D-1528
Xeon D-1531
Xeon D-1533N
Xeon D-1537
Xeon D-1539
Xeon D-1540
Xeon D-1541
Xeon D-1543N
Xeon D-1548
Xeon D-1553N
Xeon D-1557
Xeon D-1559
Xeon D-1567
Xeon D-1571
Xeon D-1577
Xeon D-1581
Xeon D-1587
Xeon D-1602
Xeon D-1622
Xeon D-1627
Xeon D-1637
Xeon D-1623N
Xeon D-1633N
Xeon D-1649N
Xeon D-1653N
Xeon E3-1285 v4
Xeon E3-1258L v4
Xeon E3-1265L v4
Xeon E3-1270L v4
Xeon E3-1278L v4
Xeon E3-1283L v4
Xeon E3-1284L v4
Xeon E3-1285L v4
Xeon E5-1603 v4
Xeon E5-1607 v4
Xeon E5-1620 v4
Xeon E5-1630 v4
Xeon E5-1650 v4
Xeon E5-1660 v4
Xeon E5-1680 v4
Xeon E5-2623 v4
Xeon E5-2637 v4
Xeon E5-2603 v4
Xeon E5-2643 v4
Xeon E5-2608L v4
Xeon E5-2609 v4
Xeon E5-2620 v4
Xeon E5-2667 v4
Xeon E5-2689A v4
Xeon E5-2618L v4
Xeon E5-2630 v4
Xeon E5-2630L v4
Xeon E5-2640 v4
Xeon E5-2689 v4
Xeon E5-2628L v4
Xeon E5-2650 v4
Xeon E5-2666 v4
Xeon E5-2687W v4
Xeon E5-2648L v4
Xeon E5-2650L v4
Xeon E5-2658 v4
Xeon E5-2660 v4
Xeon E5-2680 v4
Xeon E5-2690 v4
Xeon AWS-1100 v4
Xeon E5-2676 v4
Xeon E5-2682 v4
Xeon E5-2683 v4
Xeon E5-2697A v4
Xeon E5-2686 v4
Xeon E5-2695 v4
Xeon E5-2697 v4
Xeon E5-2673 v4
Xeon E5-2679 v4
Xeon E5-2698 v4
Xeon E5-2696 v4
Xeon E5-2699 v4
Xeon E5-2699A v4
Xeon E5-2699C v4
Xeon E5-2699R v4
Xeon E5-2699P v4
Xeon E5-4610 v4
Xeon E5-4620 v4
Xeon E5-4627 v4
Xeon E5-4628L v4
Xeon E5-4640 v4
Xeon E5-4650 v4
Xeon E5-4655 v4
Xeon E5-4660 v4
Xeon E5-4667 v4
Xeon E5-4669 v4
Xeon E7-4809 v4
Xeon E7-4820 v4
Xeon E7-4830 v4
Xeon E7-4850 v4
Xeon E7-8855 v4
Xeon E7-8860 v4
Xeon E7-8867 v4
Xeon E7-8870 v4
Xeon E7-8880 v4
Xeon E7-8890 v4
Xeon E7-8891 v4
Xeon E7-8893 v4
Xeon E7-8894 v4
