"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,CPU Description,MHz,Chips,Cores,"Total
Threads","Total
Memory (GB)","ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle","Result
(Overall ssj_ops/watt)"
ASUSTeK Computer Inc.,"RS720-E9/RS8
Dec 6, 2018 | HTML | Text",1,Oracle Corporation,Intel Xeon Platinum 8180,2500,2,56,112,192,"5,386,401",385,48.2,"12,727"
ASUSTeK Computer Inc.,"RS720Q-E9-RS8
None
May 10, 2019 | HTML | Text",4,Oracle Corporation,Intel Xeon Platinum 8176M,2100,8,224,448,768,"19,257,841","1,417",193,"11,935"
ASUSTeK Computer Inc.,"RS720-E9-RS8
Jul 3, 2019 | HTML | Text",1,Oracle Corporation,Intel Xeon Platinum 8280L,2700,2,56,112,192,"5,862,238",412,62.4,"14,066"
ASUSTeK Computer Inc.,"RS720-E9-RS8
Jul 17, 2019 | HTML | Text",1,Oracle Corporation,Intel Xeon Platinum 8280L,2700,2,56,112,192,"5,845,032",405,47.4,"14,274"
ASUSTeK Computer Inc.,"RS500A-E10-PS4
Jan 21, 2020 | HTML | Text",1,Oracle,AMD EPYC 7742 2.25Ghz,2250,1,64,128,128,"6,064,779",214,51.4,"20,908"
ASUSTeK Computer Inc.,"RS500A-E10-PS4
Jan 21, 2020 | HTML | Text",1,Oracle,AMD EPYC 7742 2.25Ghz,2250,1,64,128,128,"5,879,510",206,56.4,"21,168"
ASUSTeK Computer Inc.,"RS700A-E9-RS4V2
Apr 8, 2020 | HTML | Text",1,Oracle,AMD EPYC 7742 2.25Ghz,2250,2,128,256,256,"11,702,137",430,106,"20,214"
ASUSTeK Computer Inc.,"RS700A-E9-RS4V2
Apr 8, 2020 | HTML | Text",1,Oracle,AMD EPYC 7742 2.25Ghz,2250,2,128,256,256,"11,945,201",425,92.9,"20,350"
ASUSTeK Computer Inc.,"RS620SA-E10-RS12
RS620SA-E10
Oct 7, 2020 | HTML | Text",6,Oracle,AMD EPYC 7742 2.25Ghz,2250,6,384,768,768,"36,876,127","1,140",228,"24,238"
ASUSTeK Computer Inc.,"RS620SA-E10-RS12
RS620SA-E10
Oct 7, 2020 | HTML | Text",6,Oracle,AMD EPYC 7742 2.25Ghz,2250,6,384,768,768,"36,645,962","1,141",250,"24,507"
"ASUSTeK Computer Inc.
ASUSTeK Company Inc.","ASUS RS160-E5 (Intel Xeon L5430 Processor, 2.66 GHz)
Nov 20, 2008 | HTML | Text",1,Oracle Corporation,Intel Xeon L5430,2666,2,8,8,8,"278,927",173,89.4,"1,020"
"ASUSTeK Computer Inc.
ASUSTeK Company Inc.","ASUS RS160-E5 (Intel Xeon L5420 Processor, 2.50 GHz)
Nov 20, 2008 | HTML | Text",1,Oracle Corporation,Intel Xeon L5420,2500,2,8,8,8,"270,621",170,86,"1,009"
"ASUSTeK Computer Inc.
ASUSTeK Company Inc.","ASUS RS100-E5 (Intel Xeon X3360 Processor, 2.83 GHz)
Jan 2, 2009 | HTML | Text",1,Oracle Corporation,Intel Xeon X3360 Processor,2833,1,4,4,4,"165,064",118,56.7,905
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
"Acer Incoporated
Acer Incorporated","Acer AR360 F2
Jan 9, 2013 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,435,697",315,69.4,"3,900"
Acer Incorporated,"Altos R520
Oct 9, 2008 | HTML | Text",1,Oracle Corporation,Intel Xeon E5450,3000,2,8,8,16,"307,704",269,155,731
Acer Incorporated,"Altos R720
Dec 4, 2008 | HTML | Text",1,Oracle Corporation,Intel Xeon L5430,2667,2,8,8,8,"273,032",206,135,810
Acer Incorporated,"Altos R520
Dec 17, 2008 | HTML | Text",1,Oracle Corporation,Intel Xeon L5430,2667,2,8,8,8,"274,923",195,125,863
Acer Incorporated,"Altos G540 M2
Sep 23, 2009 | HTML | Text",1,Oracle Corporation,Intel Xeon X5570,2930,2,8,16,8,"550,441",254,121,"1,522"
Acer Incorporated,"Gateway GR160 F1
Nov 18, 2009 | HTML | Text",1,Oracle Corporation,Intel Xeon L5520,2266,2,8,16,8,"446,552",196,81.4,"1,515"
Acer Incorporated,"Gateway GW1000-GW170 F1
GW1000
Nov 18, 2009 | HTML | Text",2,Oracle Corporation,Intel Xeon L5520,2266,4,16,32,16,"900,762",386,145,"1,588"
Acer Incorporated,"Gateway GW2000h-GW170h F1
GW2000h
Dec 30, 2009 | HTML | Text",4,Oracle Corporation,Intel Xeon L5520,2266,8,32,64,32,"1,803,189",748,260,"1,674"
Acer Incorporated,"Acer AR380 F1
Apr 7, 2010 | HTML | Text",1,Oracle Corporation,Intel Xeon L5530,2400,2,8,16,8,"466,636",197,88.1,"1,597"
Acer Incorporated,"Gateway GR380 F1
Apr 7, 2010 | HTML | Text",1,Oracle Corporation,Intel Xeon L5530,2400,2,8,16,8,"465,883",198,88.2,"1,592"
Acer Incorporated,"Acer AT350 F1
Apr 21, 2010 | HTML | Text",1,Oracle Corporation,Intel Xeon L5530,2400,2,8,16,8,"466,089",193,88.5,"1,618"
Acer Incorporated,"Gateway GT350 F1
Apr 21, 2010 | HTML | Text",1,Oracle Corporation,Intel Xeon L5530,2400,2,8,16,8,"465,545",192,87.7,"1,630"
Acer Incorporated,"Acer AT110 F1
May 19, 2010 | HTML | Text",1,Oracle Corporation,Intel Xeon Processor L3360,2833,1,4,4,4,"183,161",95.4,49.6,"1,243"
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
Acer Incorporated,"Gateway GT110 F1
May 19, 2010 | HTML | Text",1,Oracle Corporation,Intel Xeon Processor L3360,2833,1,4,4,4,"184,372",94.5,47.7,"1,263"
Acer Incorporated,"Gateway GR380 F1 (Intel Xeon X5670, 2.93 GHz)
Jul 14, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"905,129",260,76.6,"2,519"
Acer Incorporated,"Acer AR380 F1 (Intel Xeon X5670, 2.93 GHz)
Jul 14, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"895,860",259,76.6,"2,502"
Acer Incorporated,"Gateway GW2000ht-GW170ht F1
Gateway GW2000ht
Aug 25, 2010 | HTML | Text",2,IBM Corporation,Intel Xeon X5670,2933,4,24,48,24,"1,772,060",596,204,"2,098"
Acer Incorporated,"Acer AW2000ht-AW170ht F1
Acer AW2000ht
Aug 25, 2010 | HTML | Text",2,IBM Corporation,Intel Xeon X5670,2933,4,24,48,24,"1,775,143",597,205,"2,099"
Acer Incorporated,"Gateway GR360 F1 (Intel Xeon X5670, 2.93 GHz)
Sep 22, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"891,056",272,73.3,"2,426"
Acer Incorporated,"Acer AR360 F1 (Intel Xeon X5670, 2.93 GHz)
Sep 22, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"890,144",272,73.6,"2,414"
Acer Incorporated,"Acer AT350 F1 (Intel Xeon X5670, 2.93 GHz)
Oct 6, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"905,850",259,78.8,"2,518"
Acer Incorporated,"Gateway GT350 F1(Intel Xeon X5670, 2.93 GHz)
Oct 6, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"903,549",257,78.4,"2,531"
Acer Incorporated,"Gateway GT150 F1(Intel Xeon X5670, 2.93 GHz)
Oct 6, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"904,396",245,65.5,"2,716"
Acer Incorporated,"Acer AT150 F1(Intel Xeon X5670, 2.93 GHz)
Oct 6, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"901,396",244,65.4,"2,724"
Acer Incorporated,"Acer AR160 F1(Intel Xeon X5670, 2.93 GHz)
Nov 3, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"898,544",267,76.9,"2,471"
Acer Incorporated,"Gateway GR160 F1(Intel Xeon X5670, 2.93 GHz)
Nov 3, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"893,973",267,76.9,"2,477"
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
Acer Incorporated,"Gateway GT115 F1 (AMD Opteron 4164EE, 1.80 GHz)
Nov 3, 2010 | HTML | Text",1,IBM Corporation,AMD Opteron 4164EE,1800,1,6,6,8,"215,041",70.3,32,"1,971"
Acer Incorporated,"Acer AT115 F1 (AMD Opteron 4164EE, 1.80 GHz)
Nov 3, 2010 | HTML | Text",1,IBM Corporation,AMD Opteron 4164EE,1800,1,6,6,8,"215,832",70.2,31.9,"1,980"
Acer Incorporated,"Gateway GW2000h-GW175h F1
Gateway GW2000h
Nov 10, 2010 | HTML | Text",4,IBM Corporation,AMD Opteron 6174,2200,8,96,96,64,"3,720,023","1,111",284,"2,481"
Acer Incorporated,"Acer AW2000h-AW175h F1
Acer AW2000h
Nov 10, 2010 | HTML | Text",4,IBM Corporation,AMD Opteron 6174,2200,8,96,96,64,"3,724,716","1,113",284,"2,474"
Acer Incorporated,"Acer AR385 F1 (AMD Opteron 6174, 2.20 GHz)
Nov 18, 2010 | HTML | Text",1,IBM Corporation,AMD Opteron 6174,2200,2,24,24,16,"935,214",273,86.7,"2,424"
Acer Incorporated,"Gateway GR385 F1 (AMD Opteron 6174, 2.20 GHz)
Nov 18, 2010 | HTML | Text",1,IBM Corporation,AMD Opteron 6174,2200,2,24,24,16,"932,415",273,86.5,"2,426"
Acer Incorporated,"Acer AR585 F1
Nov 18, 2010 | HTML | Text",1,IBM Corporation,AMD Opteron 6174,2200,4,48,48,32,"1,812,580",518,143,"2,562"
