processor
Xeon D-2141I
Xeon D-2161I
Xeon D-2191
Xeon D-2123IT
Xeon D-2142IT
Xeon D-2143IT
Xeon D-2163IT
Xeon D-2173IT
Xeon D-2183IT
Xeon D-2145NT
Xeon D-2146NT
Xeon D-2166NT
Xeon D-2177NT
Xeon D-2187NT
Xeon E3-1220 v5
Xeon E3-1225 v5
Xeon E3-1230 v5
Xeon E3-1240 v5
Xeon E3-1245 v5
Xeon E3-1270 v5
Xeon E3-1275 v5
Xeon E3-1280 v5
Xeon E3-1260L v5
Xeon E3-1268L v5
Xeon E3-1235L v5
Xeon E3-1240L v5
Xeon E3-1585 v5
Xeon E3-1505M v5
Xeon E3-1515M v5
Xeon E3-1535M v5
Xeon E3-1545M v5
Xeon E3-1575M v5
Xeon E3-1565L v5
Xeon E3-1585L v5
Xeon E3-1505L v5
Xeon E3-1558L v5
Xeon E3-1578L v5
Xeon W-2102
Xeon W-2104
Xeon W-2123
Xeon W-2125
Xeon W-2133
Xeon W-2135
Xeon W-2140B
Xeon W-2145
Xeon W-2150B
Xeon W-2155
Xeon W-2175
Xeon W-2190B
Xeon W-2195
Xeon W-3175X
Xeon Bronze 3104
Xeon Bronze 3106
Xeon Silver 4106H
Xeon Silver 4108
Xeon Silver 4109T
Xeon Silver 4110
Xeon Silver 4112
Xeon Silver 4114
Xeon Silver 4114T
Xeon Silver 4116
Xeon Silver 4116T
Xeon Silver 4123
Xeon Gold 5115
Xeon Gold 5117
Xeon Gold 5117F
Xeon Gold 5118
Xeon Gold 5119T
Xeon Gold 5120
Xeon Gold 5120T
Xeon Gold 5122
Xeon Gold 6122
Xeon Gold 6126
Xeon Gold 6126F
Xeon Gold 6126T
Xeon Gold 6127M
Xeon Gold 6128
Xeon Gold 6130
Xeon Gold 6130F
Xeon Gold 6130T
Xeon Gold 6132
Xeon Gold 6133
Xeon Gold 6134
Xeon Gold 6134M
Xeon Gold 6135
Xeon Gold 6135M
Xeon Gold 6136
Xeon Gold 6137
Xeon Gold 6137M
Xeon Gold 6138
Xeon Gold 6138F
Xeon Gold 6138P
Xeon Gold 6138T
Xeon Gold 6139
Xeon Gold 6139M
Xeon Gold 6140
Xeon Gold 6140M
Xeon Gold 6142
Xeon Gold 6142F
Xeon Gold 6142M
Xeon Gold 6143
Xeon Gold 6144
Xeon Gold 6145
Xeon Gold 6146
Xeon Gold 6148
Xeon Gold 6148F
Xeon Gold 6149
Xeon Gold 6150
Xeon Gold 6151
Xeon Gold 6152
Xeon Gold 6154
Xeon Gold 6155
Xeon Gold 6159
Xeon Gold 6161
Xeon Platinum P-8124
Xeon Platinum 8124M
Xeon Platinum P-8136
Xeon Platinum 8153
Xeon Platinum 8156
Xeon Platinum 8158
Xeon Platinum 8160
Xeon Platinum 8160F
Xeon Platinum 8160H
Xeon Platinum 8160M
Xeon Platinum 8160T
Xeon Platinum 8163
Xeon Platinum 8164
Xeon Platinum 8165
Xeon Platinum 8167M
Xeon Platinum 8168
Xeon Platinum 8170
Xeon Platinum 8170M
Xeon Platinum 8171M
Xeon Platinum 8172M
Xeon Platinum 8173M
Xeon Platinum 8174
Xeon Platinum 8175M
Xeon Platinum 8176
Xeon Platinum 8176F
Xeon Platinum 8176M
Xeon Platinum 8179M
Xeon Platinum 8180
Xeon Platinum 8180M
