processor_x,Price,Fab,Chiplets,"Cores
(threads)",Core config[i],Clock rate (GHz),Unnamed: 7,Cache,Unnamed: 9,Unnamed: 10,"Socket &
configuration",TDP,company_x,brand,make,model,moniker,version,Nodes,processor_y,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company_y,watts per thread idle,watts per thread max,watts per core idle,watts per core max,threads per core
EPYC 7763,US $7890,7 nm,"8 × CCD
1 × I/O",64 (128),8 × 8,2.45,3.5,"32 KB inst.
32 KB data
per core","512 KB
per core","256 MB
32 MB per CCX","SP3
2P",280 W,,epyc,, 7763,,,1.0,AMD EPYC 7763 2.45 GHz,2450.0,2.0,128.0,256,256,546,120,2021.0,amd,0.47,2.13,0.94,4.27,2.0
EPYC 7763,US $7890,7 nm,"8 × CCD
1 × I/O",64 (128),8 × 8,2.45,3.5,"32 KB inst.
32 KB data
per core","512 KB
per core","256 MB
32 MB per CCX","SP3
2P",280 W,,epyc,, 7763,,,1.0,AMD EPYC 7763 2.45 GHz,2450.0,1.0,64.0,128,128,272,58,2021.0,amd,0.45,2.13,0.91,4.25,2.0
EPYC 7763,US $7890,7 nm,"8 × CCD
1 × I/O",64 (128),8 × 8,2.45,3.5,"32 KB inst.
32 KB data
per core","512 KB
per core","256 MB
32 MB per CCX","SP3
2P",280 W,,epyc,, 7763,,,1.0,AMD EPYC 7763 2.45 GHz,2450.0,1.0,64.0,128,128,268,56.8,2021.0,amd,0.44,2.09,0.89,4.19,2.0
EPYC 7763,US $7890,7 nm,"8 × CCD
1 × I/O",64 (128),8 × 8,2.45,3.5,"32 KB inst.
32 KB data
per core","512 KB
per core","256 MB
32 MB per CCX","SP3
2P",280 W,,epyc,, 7763,,,3.0,AMD EPYC 7763 2.45 GHz,2450.0,6.0,384.0,768,768,"1,731",430,2021.0,amd,0.56,2.25,1.12,4.51,2.0
EPYC 7763,US $7890,7 nm,"8 × CCD
1 × I/O",64 (128),8 × 8,2.45,3.5,"32 KB inst.
32 KB data
per core","512 KB
per core","256 MB
32 MB per CCX","SP3
2P",280 W,,epyc,, 7763,,,2.0,AMD EPYC 7763 2.45 GHz,2450.0,4.0,256.0,512,512,"1,192",331,2021.0,amd,0.65,2.33,1.29,4.66,2.0
EPYC 7763,US $7890,7 nm,"8 × CCD
1 × I/O",64 (128),8 × 8,2.45,3.5,"32 KB inst.
32 KB data
per core","512 KB
per core","256 MB
32 MB per CCX","SP3
2P",280 W,,epyc,, 7763,,,3.0,AMD EPYC 7763 2.45 GHz,2450.0,6.0,384.0,768,768,"1,694",352,2021.0,amd,0.46,2.21,0.92,4.41,2.0
EPYC 7763,US $7890,7 nm,"8 × CCD
1 × I/O",64 (128),8 × 8,2.45,3.5,"32 KB inst.
32 KB data
per core","512 KB
per core","256 MB
32 MB per CCX","SP3
2P",280 W,,epyc,, 7763,,,2.0,AMD EPYC 7763 2.45 GHz,2450.0,4.0,256.0,512,512,"1,173",257,2021.0,amd,0.5,2.29,1.0,4.58,2.0
EPYC 7763,US $7890,7 nm,"8 × CCD
1 × I/O",64 (128),8 × 8,2.45,3.5,"32 KB inst.
32 KB data
per core","512 KB
per core","256 MB
32 MB per CCX","SP3
2P",280 W,,epyc,, 7763,,,4.0,AMD EPYC 7763 2.45 GHz,2450.0,8.0,512.0,1024,1024,"2,260",523,2021.0,amd,0.51,2.21,1.02,4.41,2.0
EPYC 7763,US $7890,7 nm,"8 × CCD
1 × I/O",64 (128),8 × 8,2.45,3.5,"32 KB inst.
32 KB data
per core","512 KB
per core","256 MB
32 MB per CCX","SP3
2P",280 W,,epyc,, 7763,,,1.0,AMD EPYC 7763 2.45 GHz,2450.0,1.0,64.0,128,128,270,53.7,2021.0,amd,0.42,2.11,0.84,4.22,2.0
EPYC 7763,US $7890,7 nm,"8 × CCD
1 × I/O",64 (128),8 × 8,2.45,3.5,"32 KB inst.
32 KB data
per core","512 KB
per core","256 MB
32 MB per CCX","SP3
2P",280 W,,epyc,, 7763,,,1.0,AMD EPYC 7763 2.45GHz,2450.0,2.0,128.0,256,256,460,75.6,2021.0,amd,0.3,1.8,0.59,3.59,2.0
