processor_x,Price,Fab,Chiplets,"Cores
(threads)",Core config[i],Clock rate (GHz),Unnamed: 7,Unnamed: 8,Cache,Unnamed: 10,Unnamed: 11,"Socket &
configuration",TDP,company_x,brand,make,model,moniker,version,Nodes,processor_y,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company_y,watts per thread idle,watts per thread max,watts per core idle,watts per core max,threads per core
EPYC 7702P,US $4425,,"8 × CCD
1 × I/O",64 (128),16 × 4,2,,3.35,,,"256 MB
16 MB per CCX",,200 W,,epyc,, 7702,p,,1.0,AMD EPYC 7702P 2.00 GHz,2000.0,1.0,64.0,128,64,231,54.5,2020.0,amd,0.43,1.8,0.85,3.61,2.0
EPYC 7702P,US $4425,,"8 × CCD
1 × I/O",64 (128),16 × 4,2,,3.35,,,"256 MB
16 MB per CCX",,200 W,,epyc,, 7702,p,,1.0,AMD EPYC 7702P 2.00 GHz,2000.0,1.0,64.0,128,128,230,78.7,2019.0,amd,0.61,1.8,1.23,3.59,2.0
EPYC 7702P,US $4425,,"8 × CCD
1 × I/O",64 (128),16 × 4,2,,3.35,,,"256 MB
16 MB per CCX",,200 W,,epyc,, 7702,p,,1.0,AMD EPYC 7702P 2.00 GHz,2000.0,1.0,64.0,128,128,224,70.3,2019.0,amd,0.55,1.75,1.1,3.5,2.0
EPYC 7702P,US $4425,,"8 × CCD
1 × I/O",64 (128),16 × 4,2,,3.35,,,"256 MB
16 MB per CCX",,200 W,,epyc,, 7702,p,,1.0,AMD EPYC 7702P 2.00 GHz,2000.0,1.0,64.0,128,128,231,79.5,2019.0,amd,0.62,1.8,1.24,3.61,2.0
EPYC 7702,US $6450,,,,,2,,3.35,,,,,200 W,,epyc,, 7702,,,1.0,AMD EPYC 7702 2.00 GHz,2000.0,2.0,128.0,256,128,404,81.6,2020.0,amd,0.32,1.58,0.64,3.16,2.0
EPYC 7702,US $6450,,,,,2,,3.35,,,,,200 W,,epyc,, 7702,,,1.0,AMD EPYC 7702 2.00 GHz,2000.0,2.0,128.0,256,128,393,72.3,2020.0,amd,0.28,1.54,0.56,3.07,2.0
EPYC 7702,US $6450,,,,,2,,3.35,,,,,200 W,,epyc,, 7702,,,1.0,AMD EPYC 7702 2.0 GHz,2000.0,2.0,128.0,256,256,423,163,2019.0,amd,0.64,1.65,1.27,3.3,2.0
EPYC 7702,US $6450,,,,,2,,3.35,,,,,200 W,,epyc,, 7702,,,1.0,AMD EPYC 7702 2.0 GHz,2000.0,2.0,128.0,256,256,422,111,2019.0,amd,0.43,1.65,0.87,3.3,2.0
EPYC 7702,US $6450,,,,,2,,3.35,,,,,200 W,,epyc,, 7702,,,3.0,AMD EPYC 7702 2.0 GHz,2000.0,6.0,384.0,768,768,"1,281",524,2020.0,amd,0.68,1.67,1.36,3.34,2.0
EPYC 7702,US $6450,,,,,2,,3.35,,,,,200 W,,epyc,, 7702,,,2.0,AMD EPYC 7702 2.0 GHz,2000.0,4.0,256.0,512,512,894,403,2020.0,amd,0.79,1.75,1.57,3.49,2.0
