processor,Price,Fab,Chiplets,"Cores
(threads)",Core config[i],Clock rate (GHz),Unnamed: 7,Unnamed: 8,Cache,Unnamed: 10,Unnamed: 11,"Socket &
configuration",TDP,company,brand,make,model,moniker,version
,,,,,,Base,Boost,,L1,L2,L3,,,,,,,an,
,,,,,,,All-core,Max,,,,,,,,,,an,
EPYC 7232P,US $450,7 nm,"2 × CCD
1 × I/O",8 (16),4 × 2,3.1,,3.2,"32 KB inst.
32 KB data
per core","512 KB
per core","32 MB
8 MB per CCX","SP3
1P",120 W,,epyc,,7232,p,
EPYC 7302P,US $825,,"4 × CCD
1 × I/O",16 (32),8 × 2,3,,3.3,,,"128 MB
16 MB per CCX",,155 W,,epyc,,7302,p,
EPYC 7402P,US $1250,,,24 (48),8 × 3,2.8,,3.35,,,,,180 W,,epyc,,7402,p,
EPYC 7502P,US $2300,,,32 (64),8 × 4,2.5,,3.35,,,,,,,epyc,,7502,p,
EPYC 7702P,US $4425,,"8 × CCD
1 × I/O",64 (128),16 × 4,2,,3.35,,,"256 MB
16 MB per CCX",,200 W,,epyc,,7702,p,
EPYC 7252,US $475,,"2 × CCD
1 × I/O",8 (16),4 × 2,3.1,,3.2,,,"64 MB
16 MB per CCX","SP3
2P",120 W,,epyc,,7252,,
EPYC 7262,US $575,,"4 × CCD
1 × I/O",,8 × 1,3.2,,3.4,,,"128 MB
16 MB per CCX",,155 W,,epyc,,7262,,
EPYC 7272,US $625,,"2 × CCD
1 × I/O",12 (24),4 × 3,2.9,,3.2,,,"64 MB
16 MB per CCX",,120 W,,epyc,,7272,,
EPYC 7282,US $650,,,16 (32),4 × 4,2.8,,3.2,,,,,,,epyc,,7282,,
EPYC 7302,US $978,,"4 × CCD
1 × I/O",,8 × 2,3,,3.3,,,"128 MB
16 MB per CCX",,155 W,,epyc,,7302,,
EPYC 7352,US $1350,,,24 (48),8 × 3,2.3,,3.2,,,,,,,epyc,,7352,,
EPYC 7402,US $1783,,,,8 × 3,2.8,,3.35,,,,,180 W,,epyc,,7402,,
EPYC 7452,US $2025,,,32 (64),8 × 4,2.35,,3.35,,,,,155 W,,epyc,,7452,,
EPYC 7502,US $2600,,,,8 × 4,2.5,,3.35,,,,,180 W,,epyc,,7502,,
EPYC 7532,US $3350,,"8 × CCD
1 × I/O",,16 × 2,2.4,,3.3,,,"256 MB
16 MB per CCX",,200 W,,epyc,,7532,,
EPYC 7542,US $3400,,"4 × CCD
1 × I/O",,8 × 4,2.9,,3.4,,,"128 MB
16 MB per CCX",,225 W,,epyc,,7542,,
EPYC 7552,US $4025,,"6 × CCD
1 × I/O",48 (96),12 × 4,2.2,,3.3,,,"192 MB
16 MB per CCX",,200 W,,epyc,,7552,,
EPYC 7642,US $4775,,"8 × CCD
1 × I/O",,16 × 3,2.3,,3.3,,,"256 MB
16 MB per CCX",,225 W,,epyc,,7642,,
EPYC 7662,US $6150,,,64 (128),16 × 4,2,,3.3,,,,,225 W,,epyc,,7662,,
EPYC 7702,US $6450,,,,,2,,3.35,,,,,200 W,,epyc,,7702,,
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,
EPYC 7H12,,,,,,2.6,,3.3,,,,,280 W,,epyc,,7h12,,
EPYC 7F32,US $2100,,"4 × CCD
1 × I/O",8 (16),8 × 1,3.7,,3.9,,,"128 MB
16 MB per CCX","SP3
1P/2P",180 W,,epyc,,7f32,,
EPYC 7F52,US $3100,,"8 × CCD
1 × I/O",16 (32),16 × 1,3.5,,3.9,,,"256 MB
16 MB per CCX",,240 W,,epyc,,7f52,,
EPYC 7F72,US $2450,,"6 × CCD
1 × I/O",24 (48),12 × 2,3.2,,3.7,,,"192 MB
16 MB per CCX",,240 W,,epyc,,7f72,,
