processor,company,brand,make,model,moniker,version
Xeon D-1513N,,xeon,,d-1513,n,
Xeon D-1518,,xeon,,d-1518,,
Xeon D-1520,,xeon,,d-1520,,
Xeon D-1521,,xeon,,d-1521,,
Xeon D-1523N,,xeon,,d-1523,n,
Xeon D-1527,,xeon,,d-1527,,
Xeon D-1529,,xeon,,d-1529,,
Xeon D-1528,,xeon,,d-1528,,
Xeon D-1531,,xeon,,d-1531,,
Xeon D-1533N,,xeon,,d-1533,n,
Xeon D-1537,,xeon,,d-1537,,
Xeon D-1539,,xeon,,d-1539,,
Xeon D-1540,,xeon,,d-1540,,
Xeon D-1541,,xeon,,d-1541,,
Xeon D-1543N,,xeon,,d-1543,n,
Xeon D-1548,,xeon,,d-1548,,
Xeon D-1553N,,xeon,,d-1553,n,
Xeon D-1557,,xeon,,d-1557,,
Xeon D-1559,,xeon,,d-1559,,
Xeon D-1567,,xeon,,d-1567,,
Xeon D-1571,,xeon,,d-1571,,
Xeon D-1577,,xeon,,d-1577,,
Xeon D-1581,,xeon,,d-1581,,
Xeon D-1587,,xeon,,d-1587,,
Xeon D-1602,,xeon,,d-1602,,
Xeon D-1622,,xeon,,d-1622,,
Xeon D-1627,,xeon,,d-1627,,
Xeon D-1637,,xeon,,d-1637,,
Xeon D-1623N,,xeon,,d-1623,n,
Xeon D-1633N,,xeon,,d-1633,n,
Xeon D-1649N,,xeon,,d-1649,n,
Xeon D-1653N,,xeon,,d-1653,n,
Xeon E3-1285 v4,,xeon,,e3-1285,,v4
Xeon E3-1258L v4,,xeon,,e3-1258,l,v4
Xeon E3-1265L v4,,xeon,,e3-1265,l,v4
Xeon E3-1270L v4,,xeon,,e3-1270,l,v4
Xeon E3-1278L v4,,xeon,,e3-1278,l,v4
Xeon E3-1283L v4,,xeon,,e3-1283,l,v4
Xeon E3-1284L v4,,xeon,,e3-1284,l,v4
Xeon E3-1285L v4,,xeon,,e3-1285,l,v4
Xeon E5-1603 v4,,xeon,,e5-1603,,v4
Xeon E5-1607 v4,,xeon,,e5-1607,,v4
Xeon E5-1620 v4,,xeon,,e5-1620,,v4
Xeon E5-1630 v4,,xeon,,e5-1630,,v4
Xeon E5-1650 v4,,xeon,,e5-1650,,v4
Xeon E5-1660 v4,,xeon,,e5-1660,,v4
Xeon E5-1680 v4,,xeon,,e5-1680,,v4
Xeon E5-2623 v4,,xeon,,e5-2623,,v4
Xeon E5-2637 v4,,xeon,,e5-2637,,v4
Xeon E5-2603 v4,,xeon,,e5-2603,,v4
Xeon E5-2643 v4,,xeon,,e5-2643,,v4
Xeon E5-2608L v4,,xeon,,e5-2608,l,v4
Xeon E5-2609 v4,,xeon,,e5-2609,,v4
Xeon E5-2620 v4,,xeon,,e5-2620,,v4
Xeon E5-2667 v4,,xeon,,e5-2667,,v4
Xeon E5-2689A v4,,xeon,,e5-2689,a,v4
Xeon E5-2618L v4,,xeon,,e5-2618,l,v4
Xeon E5-2630 v4,,xeon,,e5-2630,,v4
Xeon E5-2630L v4,,xeon,,e5-2630,l,v4
Xeon E5-2640 v4,,xeon,,e5-2640,,v4
Xeon E5-2689 v4,,xeon,,e5-2689,,v4
Xeon E5-2628L v4,,xeon,,e5-2628,l,v4
