processor_x,company_x,brand,make,model,moniker,version,Nodes,processor_y,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company_y,watts per thread idle,watts per thread max,watts per core idle,watts per core max,threads per core
Xeon Silver 4210,,xeon,silver, 4210,,,1.0,Intel(R) Xeon(R) Silver 4210 CPU @ 2.20GHz,2200.0,2.0,20.0,40,768,291,127,2021.0,intel,3.17,7.28,6.35,14.55,2.0
Xeon Silver 4214,,xeon,silver, 4214,,,1.0,Intel Xeon Silver 4214,2200.0,2.0,24.0,48,384,289,112,2021.0,intel,2.33,6.02,4.67,12.04,2.0
Xeon Gold 5218,,xeon,gold, 5218,,,1.0,Intel Xeon Gold 5218,2300.0,2.0,32.0,64,384,367,114,2021.0,intel,1.78,5.73,3.56,11.47,2.0
Xeon Gold 5220,,xeon,gold, 5220,,,1.0,Intel Xeon Gold 5220,2200.0,2.0,36.0,72,192,318,61.5,2019.0,intel,0.85,4.42,1.71,8.83,2.0
Xeon Gold 6210U,,xeon,gold, 6210,u,,5.0,Intel(R) Xeon(R) Gold 6210U CPU @ 2.50GHz,2500.0,5.0,100.0,200,320,877,247,2020.0,intel,1.24,4.38,2.47,8.77,2.0
Xeon Gold 6238R,,xeon,gold, 6238,r,,1.0,Intel Xeon Gold 6238R,2200.0,1.0,28.0,56,384,277,92.5,2021.0,intel,1.65,4.95,3.3,9.89,2.0
Xeon Gold 6252,,xeon,gold, 6252,,,1.0,Intel Xeon Gold 6252 Processor,2100.0,2.0,48.0,96,96,342,54.8,2019.0,intel,0.57,3.56,1.14,7.13,2.0
Xeon Gold 6252,,xeon,gold, 6252,,,1.0,Intel Xeon Gold 6252,2100.0,1.0,24.0,48,384,262,93.6,2021.0,intel,1.95,5.46,3.9,10.92,2.0
Xeon Platinum 8276L,,xeon,platinum, 8276,l,,1.0,Intel Xeon Platinum 8276L,2300.0,2.0,56.0,112,192,332,58.2,2019.0,intel,0.52,2.96,1.04,5.93,2.0
Xeon Platinum 8276L,,xeon,platinum, 8276,l,,1.0,Intel Xeon Platinum 8276L,2300.0,4.0,112.0,224,384,710,113,2019.0,intel,0.5,3.17,1.01,6.34,2.0
Xeon Platinum 8276L,,xeon,platinum, 8276,l,,1.0,Intel Xeon Platinum 8276L,2200.0,2.0,56.0,112,192,367,53.6,2019.0,intel,0.48,3.28,0.96,6.55,2.0
Xeon Platinum 8276L,,xeon,platinum, 8276,l,,1.0,Intel Xeon Platinum 8276L,2200.0,2.0,56.0,112,192,347,48.3,2019.0,intel,0.43,3.1,0.86,6.2,2.0
Xeon Platinum 8276L,,xeon,platinum, 8276,l,,1.0,Intel Xeon Platinum 8276L,2200.0,8.0,224.0,448,768,"1,329",281,2019.0,intel,0.63,2.97,1.25,5.93,2.0
