processor,company,brand,make,model,moniker,version
Xeon Bronze 3204,,xeon,, 3204,,
Xeon Bronze 3206R,,xeon,, 3206,r,
Xeon Silver 4208,,xeon,silver, 4208,,
Xeon Silver 4209T,,xeon,silver, 4209,t,
Xeon Silver 4210,,xeon,silver, 4210,,
Xeon Silver 4210R,,xeon,silver, 4210,r,
Xeon Silver 4210T,,xeon,silver, 4210,t,
Xeon Silver 4214,,xeon,silver, 4214,,
Xeon Silver 4214R,,xeon,silver, 4214,r,
Xeon Silver 4214Y,,xeon,silver, 4214,y,
Xeon Silver 4215,,xeon,silver, 4215,,
Xeon Silver 4215R,,xeon,silver, 4215,r,
Xeon Silver 4216,,xeon,silver, 4216,,
Xeon Gold 5215,,xeon,gold, 5215,,
Xeon Gold 5215L,,xeon,gold, 5215,l,
Xeon Gold 5215M,,xeon,gold, 5215,m,
Xeon Gold 5217,,xeon,gold, 5217,,
Xeon Gold 5218,,xeon,gold, 5218,,
Xeon Gold 5218B,,xeon,gold, 5218,b,
Xeon Gold 5218N,,xeon,gold, 5218,n,
Xeon Gold 5218T,,xeon,gold, 5218,t,
Xeon Gold 5219Y,,xeon,gold, 5219,y,
Xeon Gold 5220,,xeon,gold, 5220,,
Xeon Gold 5220R,,xeon,gold, 5220,r,
Xeon Gold 5220S,,xeon,gold, 5220,s,
Xeon Gold 5220T,,xeon,gold, 5220,t,
Xeon Gold 5222,,xeon,gold, 5222,,
Xeon Gold 6208U,,xeon,gold, 6208,u,
Xeon Gold 6209U,,xeon,gold, 6209,u,
Xeon Gold 6210U,,xeon,gold, 6210,u,
Xeon Gold 6212U,,xeon,gold, 6212,u,
Xeon Gold 6222V,,xeon,gold, 6222,v,
Xeon Gold 6222,,xeon,gold, 6222,,
Xeon Gold 6226,,xeon,gold, 6226,,
Xeon Gold 6226R,,xeon,gold, 6226,r,
Xeon Gold 6230,,xeon,gold, 6230,,
Xeon Gold 6230N,,xeon,gold, 6230,n,
Xeon Gold 6230R,,xeon,gold, 6230,r,
Xeon Gold 6230T,,xeon,gold, 6230,t,
Xeon Gold 6233,,xeon,gold, 6233,,
Xeon Gold 6234,,xeon,gold, 6234,,
Xeon Gold 6238,,xeon,gold, 6238,,
Xeon Gold 6238L,,xeon,gold, 6238,l,
Xeon Gold 6238M,,xeon,gold, 6238,m,
Xeon Gold 6238R,,xeon,gold, 6238,r,
Xeon Gold 6238T,,xeon,gold, 6238,t,
Xeon Gold 6240,,xeon,gold, 6240,,
Xeon Gold 6240L,,xeon,gold, 6240,l,
Xeon Gold 6240M,,xeon,gold, 6240,m,
Xeon Gold 6240R,,xeon,gold, 6240,r,
Xeon Gold 6240Y,,xeon,gold, 6240,y,
Xeon Gold 6242,,xeon,gold, 6242,,
Xeon Gold 6242R,,xeon,gold, 6242,r,
Xeon Gold 6244,,xeon,gold, 6244,,
Xeon Gold 6246,,xeon,gold, 6246,,
Xeon Gold 6246R,,xeon,gold, 6246,r,
Xeon Gold 6248,,xeon,gold, 6248,,
Xeon Gold 6248R,,xeon,gold, 6248,r,
Xeon Gold 6250,,xeon,gold, 6250,,
Xeon Gold 6252,,xeon,gold, 6252,,
Xeon Gold 6252N,,xeon,gold, 6252,n,
Xeon Gold 6254,,xeon,gold, 6254,,
Xeon Gold 6258R,,xeon,gold, 6258,r,
Xeon Gold 6262,,xeon,gold, 6262,,
Xeon Gold 6262V,,xeon,gold, 6262,v,
Xeon Gold 6269Y,,xeon,gold, 6269,y,
Xeon Gold 6268CL,,xeon,gold, 6268,c,
Xeon Gold 6278C,,xeon,gold, 6278,c,
Xeon Platinum 8253,,xeon,platinum, 8253,,
Xeon Platinum 8256,,xeon,platinum, 8256,,
Xeon Platinum 8259L,,xeon,platinum, 8259,l,
Xeon Platinum 8259CL,,xeon,platinum, 8259,c,
Xeon Platinum 8260,,xeon,platinum, 8260,,
Xeon Platinum 8260L,,xeon,platinum, 8260,l,
Xeon Platinum 8260M,,xeon,platinum, 8260,m,
Xeon Platinum 8260Y,,xeon,platinum, 8260,y,
Xeon Platinum 8268,,xeon,platinum, 8268,,
Xeon Platinum 8270,,xeon,platinum, 8270,,
Xeon Platinum 8274,,xeon,platinum, 8274,,
Xeon Platinum 8275CL,,xeon,platinum, 8275,c,
Xeon Platinum 8276,,xeon,platinum, 8276,,
Xeon Platinum 8276L,,xeon,platinum, 8276,l,
Xeon Platinum 8276M,,xeon,platinum, 8276,m,
Xeon Platinum 8280,,xeon,platinum, 8280,,
Xeon Platinum 8280L,,xeon,platinum, 8280,l,
Xeon Platinum 8280M,,xeon,platinum, 8280,m,
Xeon Platinum 8284,,xeon,platinum, 8284,,
Xeon Platinum 9221,,xeon,platinum, 9221,,
Xeon Platinum 9222,,xeon,platinum, 9222,,
Xeon Platinum 9242,,xeon,platinum, 9242,,
Xeon Platinum 9282,,xeon,platinum, 9282,,
Xeon W-2223,,xeon,, w-2223,,
Xeon W-2225,,xeon,, w-2225,,
Xeon W-2235,,xeon,, w-2235,,
Xeon W-2245,,xeon,, w-2245,,
Xeon W-2255,,xeon,, w-2255,,
Xeon W-2265,,xeon,, w-2265,,
Xeon W-2275,,xeon,, w-2275,,
Xeon W-2295,,xeon,, w-2295,,
Xeon W-3223,,xeon,, w-3223,,
Xeon W-3225,,xeon,, w-3225,,
