processor,company,brand,make,model,moniker,version
Xeon E3-1220L v3,,xeon,,e3-1220,l,v3
Xeon E3-1220 v3,,xeon,,e3-1220,,v3
Xeon E3-1225 v3,,xeon,,e3-1225,,v3
Xeon E3-1226 v3,,xeon,,e3-1226,,v3
Xeon E3-1230 v3,,xeon,,e3-1230,,v3
Xeon E3-1231 v3,,xeon,,e3-1231,,v3
Xeon E3-1240 v3,,xeon,,e3-1240,,v3
Xeon E3-1241 v3,,xeon,,e3-1241,,v3
Xeon E3-1245 v3,,xeon,,e3-1245,,v3
Xeon E3-1246 v3,,xeon,,e3-1246,,v3
Xeon E3-1270 v3,,xeon,,e3-1270,,v3
Xeon E3-1271 v3,,xeon,,e3-1271,,v3
Xeon E3-1275 v3,,xeon,,e3-1275,,v3
Xeon E3-1276 v3,,xeon,,e3-1276,,v3
Xeon E3-1280 v3,,xeon,,e3-1280,,v3
Xeon E3-1281 v3,,xeon,,e3-1281,,v3
Xeon E3-1285 v3,,xeon,,e3-1285,,v3
Xeon E3-1286 v3,,xeon,,e3-1286,,v3
Xeon E3-1265L v3,,xeon,,e3-1265,l,v3
Xeon E3-1268L v3,,xeon,,e3-1268,l,v3
Xeon E3-1275L v3,,xeon,,e3-1275,l,v3
Xeon E3-1284L v3,,xeon,,e3-1284,l,v3
Xeon E3-1285L v3,,xeon,,e3-1285,l,v3
Xeon E3-1286L v3,,xeon,,e3-1286,l,v3
Xeon E3-1230L v3,,xeon,,e3-1230,l,v3
Xeon E3-1240L v3,,xeon,,e3-1240,l,v3
Xeon E5-1428L v3,,xeon,,e5-1428,l,v3
Xeon E5-2408L v3,,xeon,,e5-2408,l,v3
Xeon E5-2418L v3,,xeon,,e5-2418,l,v3
Xeon E5-2428L v3,,xeon,,e5-2428,l,v3
Xeon E5-2438L v3,,xeon,,e5-2438,l,v3
Xeon E5-1603 v3,,xeon,,e5-1603,,v3
Xeon E5-1607 v3,,xeon,,e5-1607,,v3
Xeon E5-1620 v3,,xeon,,e5-1620,,v3
Xeon E5-1630 v3,,xeon,,e5-1630,,v3
Xeon E5-1650 v3,,xeon,,e5-1650,,v3
Xeon E5-1660 v3,,xeon,,e5-1660,,v3
Xeon E5-1680 v3,,xeon,,e5-1680,,v3
Xeon E5-1681 v3,,xeon,,e5-1681,,v3
Xeon E5-1686 v3,,xeon,,e5-1686,,v3
Xeon E5-1691 v3,,xeon,,e5-1691,,v3
Xeon E5-2623 v3,,xeon,,e5-2623,,v3
Xeon E5-2637 v3,,xeon,,e5-2637,,v3
Xeon E5-2603 v3,,xeon,,e5-2603,,v3
Xeon E5-2608L v3,,xeon,,e5-2608,l,v3
Xeon E5-2609 v3,,xeon,,e5-2609,,v3
Xeon E5-2620 v3,,xeon,,e5-2620,,v3
Xeon E5-2643 v3,,xeon,,e5-2643,,v3
Xeon E5-2618L v3,,xeon,,e5-2618,l,v3
Xeon E5-2622 v3,,xeon,,e5-2622,,v3
Xeon E5-2628 v3,,xeon,,e5-2628,,v3
Xeon E5-2629 v3,,xeon,,e5-2629,,v3
Xeon E5-2630 v3,,xeon,,e5-2630,,v3
Xeon E5-2630L v3,,xeon,,e5-2630,l,v3
Xeon E5-2640 v3,,xeon,,e5-2640,,v3
Xeon E5-2667 v3,,xeon,,e5-2667,,v3
Xeon E5-2628L v3,,xeon,,e5-2628,l,v3
Xeon E5-2649 v3,,xeon,,e5-2649,,v3
Xeon E5-2650 v3,,xeon,,e5-2650,,v3
Xeon E5-2652 v3,,xeon,,e5-2652,,v3
Xeon E5-2660 v3,,xeon,,e5-2660,,v3
Xeon E5-2663 v3,,xeon,,e5-2663,,v3
Xeon E5-2666 v3,,xeon,,e5-2666,,v3
Xeon E5-2687W v3,,xeon,,e5-2687,w,v3
Xeon E5-2648L v3,,xeon,,e5-2648,l,v3
Xeon E5-2650L v3,,xeon,,e5-2650,l,v3
Xeon E5-2658 v3,,xeon,,e5-2658,,v3
Xeon E5-2658A v3,,xeon,,e5-2658,a,v3
Xeon E5-2669 v3,,xeon,,e5-2669,,v3
Xeon E5-2670 v3,,xeon,,e5-2670,,v3
Xeon E5-2673 v3,,xeon,,e5-2673,,v3
Xeon E5-2676 v3,,xeon,,e5-2676,,v3
Xeon E5-2678 v3,,xeon,,e5-2678,,v3
