processor,company,brand,make,model,moniker,version
Xeon E3-1105C v2,,xeon,,e3-1105,c,v2
Xeon E3-1125C v2,,xeon,,e3-1125,c,v2
Xeon E3-1135C v2,,xeon,,e3-1135,c,v2
Xeon E3-1220L v2,,xeon,,e3-1220,l,v2
Xeon E3-1220 v2,,xeon,,e3-1220,,v2
Xeon E3-1225 v2,,xeon,,e3-1225,,v2
Xeon E3-1230 v2,,xeon,,e3-1230,,v2
Xeon E3-1240 v2,,xeon,,e3-1240,,v2
Xeon E3-1245 v2,,xeon,,e3-1245,,v2
Xeon E3-1270 v2,,xeon,,e3-1270,,v2
Xeon E3-1275 v2,,xeon,,e3-1275,,v2
Xeon E3-1280 v2,,xeon,,e3-1280,,v2
Xeon E3-1285 v2,,xeon,,e3-1285,,v2
Xeon E3-1290 v2,,xeon,,e3-1290,,v2
Xeon E3-1265L v2,,xeon,,e3-1265,l,v2
Xeon E3-1285L v2,,xeon,,e3-1285,l,v2
Xeon E5-1410 v2,,xeon,,e5-1410,,v2
Xeon E5-1428L v2,,xeon,,e5-1428,l,v2
Xeon E5-2403 v2,,xeon,,e5-2403,,v2
Xeon E5-2407 v2,,xeon,,e5-2407,,v2
Xeon E5-2420 v2,,xeon,,e5-2420,,v2
Xeon E5-2430 v2,,xeon,,e5-2430,,v2
Xeon E5-2418L v2,,xeon,,e5-2418,l,v2
Xeon E5-2430L v2,,xeon,,e5-2430,l,v2
Xeon E5-2440 v2,,xeon,,e5-2440,,v2
Xeon E5-2450 v2,,xeon,,e5-2450,,v2
Xeon E5-2428L v2,,xeon,,e5-2428,l,v2
Xeon E5-2470 v2,,xeon,,e5-2470,,v2
Xeon E5-2448L v2,,xeon,,e5-2448,l,v2
Xeon E5-2450L v2,,xeon,,e5-2450,l,v2
Xeon E5-1607 v2,,xeon,,e5-1607,,v2
Xeon E5-1620 v2,,xeon,,e5-1620,,v2
Xeon E5-1650 v2,,xeon,,e5-1650,,v2
Xeon E5-1660 v2,,xeon,,e5-1660,,v2
Xeon E5-1680 v2,,xeon,,e5-1680,,v2
Xeon E5-2603 v2,,xeon,,e5-2603,,v2
Xeon E5-2609 v2,,xeon,,e5-2609,,v2
Xeon E5-2637 v2,,xeon,,e5-2637,,v2
Xeon E5-2620 v2,,xeon,,e5-2620,,v2
Xeon E5-2630 v2,,xeon,,e5-2630,,v2
Xeon E5-2643 v2,,xeon,,e5-2643,,v2
Xeon E5-2618L v2,,xeon,,e5-2618,l,v2
Xeon E5-2630L v2,,xeon,,e5-2630,l,v2
Xeon E5-2640 v2,,xeon,,e5-2640,,v2
Xeon E5-2650 v2,,xeon,,e5-2650,,v2
Xeon E5-2667 v2,,xeon,,e5-2667,,v2
Xeon E5-2673 v2,,xeon,,e5-2673,,v2
Xeon E5-2687W v2,,xeon,,e5-2687,w,v2
Xeon E5-2628L v2,,xeon,,e5-2628,l,v2
Xeon E5-2658 v2,,xeon,,e5-2658,,v2
Xeon E5-2660 v2,,xeon,,e5-2660,,v2
Xeon E5-2670 v2,,xeon,,e5-2670,,v2
Xeon E5-2680 v2,,xeon,,e5-2680,,v2
Xeon E5-2690 v2,,xeon,,e5-2690,,v2
Xeon E5-2648L v2,,xeon,,e5-2648,l,v2
Xeon E5-2650L v2,,xeon,,e5-2650,l,v2
Xeon E5-2651 v2,,xeon,,e5-2651,,v2
Xeon E5-2692 v2,,xeon,,e5-2692,,v2
Xeon E5-2695 v2,,xeon,,e5-2695,,v2
Xeon E5-2696 v2,,xeon,,e5-2696,,v2
Xeon E5-2697 v2,,xeon,,e5-2697,,v2
Xeon E5-4603 v2,,xeon,,e5-4603,,v2
Xeon E5-4607 v2,,xeon,,e5-4607,,v2
Xeon E5-4610 v2,,xeon,,e5-4610,,v2
Xeon E5-4620 v2,,xeon,,e5-4620,,v2
Xeon E5-4627 v2,,xeon,,e5-4627,,v2
Xeon E5-4624L v2,,xeon,,e5-4624,l,v2
Xeon E5-4640 v2,,xeon,,e5-4640,,v2
Xeon E5-4650 v2,,xeon,,e5-4650,,v2
Xeon E5-4657L v2,,xeon,,e5-4657,l,v2
Xeon E7-2850 v2,,xeon,,e7-2850,,v2
Xeon E7-2870 v2,,xeon,,e7-2870,,v2
Xeon E7-2880 v2,,xeon,,e7-2880,,v2
Xeon E7-2890 v2,,xeon,,e7-2890,,v2
Xeon E7-4809 v2,,xeon,,e7-4809,,v2
Xeon E7-4820 v2,,xeon,,e7-4820,,v2
Xeon E7-4830 v2,,xeon,,e7-4830,,v2
Xeon E7-4850 v2,,xeon,,e7-4850,,v2
Xeon E7-4860 v2,,xeon,,e7-4860,,v2
Xeon E7-4870 v2,,xeon,,e7-4870,,v2
Xeon E7-4880 v2,,xeon,,e7-4880,,v2
Xeon E7-4890 v2,,xeon,,e7-4890,,v2
Xeon E7-8893 v2,,xeon,,e7-8893,,v2
Xeon E7-8891 v2,,xeon,,e7-8891,,v2
Xeon E7-8850 v2,,xeon,,e7-8850,,v2
Xeon E7-8857 v2,,xeon,,e7-8857,,v2
Xeon E7-8870 v2,,xeon,,e7-8870,,v2
Xeon E7-8880 v2,,xeon,,e7-8880,,v2
Xeon E7-8880L v2,,xeon,,e7-8880,l,v2
Xeon E7-8890 v2,,xeon,,e7-8890,,v2
Xeon E7-8895 v2,,xeon,,e7-8895,,v2
