Nodes,processor,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company,brand,make,model,moniker,version
1,Intel Xeon Platinum 8180,2500,2,56,112,192,385,48.2,2018,intel,xeon,platinum, 8180,,
4,Intel Xeon Platinum 8176M,2100,8,224,448,768,"1,417",193,2019,intel,xeon,platinum, 8176,m,
1,Intel Xeon Platinum 8280L,2700,2,56,112,192,412,62.4,2019,intel,xeon,platinum, 8280,l,
1,Intel Xeon Platinum 8280L,2700,2,56,112,192,405,47.4,2019,intel,xeon,platinum, 8280,l,
1,AMD EPYC 7742 2.25Ghz,2250,1,64,128,128,214,51.4,2020,amd,epyc,, 7742,,
1,AMD EPYC 7742 2.25Ghz,2250,1,64,128,128,206,56.4,2020,amd,epyc,, 7742,,
1,AMD EPYC 7742 2.25Ghz,2250,2,128,256,256,430,106,2020,amd,epyc,, 7742,,
1,AMD EPYC 7742 2.25Ghz,2250,2,128,256,256,425,92.9,2020,amd,epyc,, 7742,,
6,AMD EPYC 7742 2.25Ghz,2250,6,384,768,768,"1,140",228,2020,amd,epyc,, 7742,,
6,AMD EPYC 7742 2.25Ghz,2250,6,384,768,768,"1,141",250,2020,amd,epyc,, 7742,,
1,Intel Xeon L5430,2666,2,8,8,8,173,89.4,2008,intel,xeon,, l5430,,
1,Intel Xeon L5420,2500,2,8,8,8,170,86,2008,intel,xeon,, l5420,,
1,Intel Xeon X3360 Processor,2833,1,4,4,4,118,56.7,2009,intel,xeon,, x3360,,
1,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,315,69.4,2013,intel,xeon,, e5-2660,,
1,Intel Xeon E5450,3000,2,8,8,16,269,155,2008,intel,xeon,, e5450,,
1,Intel Xeon L5430,2667,2,8,8,8,206,135,2008,intel,xeon,, l5430,,
1,Intel Xeon L5430,2667,2,8,8,8,195,125,2008,intel,xeon,, l5430,,
1,Intel Xeon X5570,2930,2,8,16,8,254,121,2009,intel,xeon,, x5570,,
1,Intel Xeon L5520,2266,2,8,16,8,196,81.4,2009,intel,xeon,, l5520,,
2,Intel Xeon L5520,2266,4,16,32,16,386,145,2009,intel,xeon,, l5520,,
4,Intel Xeon L5520,2266,8,32,64,32,748,260,2009,intel,xeon,, l5520,,
1,Intel Xeon L5530,2400,2,8,16,8,197,88.1,2010,intel,xeon,, l5530,,
1,Intel Xeon L5530,2400,2,8,16,8,198,88.2,2010,intel,xeon,, l5530,,
1,Intel Xeon L5530,2400,2,8,16,8,193,88.5,2010,intel,xeon,, l5530,,
1,Intel Xeon L5530,2400,2,8,16,8,192,87.7,2010,intel,xeon,, l5530,,
1,Intel Xeon Processor L3360,2833,1,4,4,4,95.4,49.6,2010,intel,xeon,, l3360,,
1,Intel Xeon Processor L3360,2833,1,4,4,4,94.5,47.7,2010,intel,xeon,, l3360,,
1,Intel Xeon X5670,2933,2,12,24,12,260,76.6,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,259,76.6,2010,intel,xeon,, x5670,,
2,Intel Xeon X5670,2933,4,24,48,24,596,204,2010,intel,xeon,, x5670,,
2,Intel Xeon X5670,2933,4,24,48,24,597,205,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,272,73.3,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,272,73.6,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,259,78.8,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,257,78.4,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,245,65.5,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,244,65.4,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,267,76.9,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,267,76.9,2010,intel,xeon,, x5670,,
1,AMD Opteron 4164EE,1800,1,6,6,8,70.3,32,2010,amd,opteron,, 4164,e,
1,AMD Opteron 4164EE,1800,1,6,6,8,70.2,31.9,2010,amd,opteron,, 4164,e,
4,AMD Opteron 6174,2200,8,96,96,64,"1,111",284,2010,amd,opteron,, 6174,,
4,AMD Opteron 6174,2200,8,96,96,64,"1,113",284,2010,amd,opteron,, 6174,,
1,AMD Opteron 6174,2200,2,24,24,16,273,86.7,2010,amd,opteron,, 6174,,
1,AMD Opteron 6174,2200,2,24,24,16,273,86.5,2010,amd,opteron,, 6174,,
1,AMD Opteron 6174,2200,4,48,48,32,518,143,2010,amd,opteron,, 6174,,
1,AMD Opteron 6174,2200,4,48,48,32,518,142,2010,amd,opteron,, 6174,,
1,Intel Xeon X3470,2933,1,4,8,8,124,39.6,2010,intel,xeon,, x3470,,
1,Intel Xeon X3470,2933,1,4,8,8,125,39.6,2010,intel,xeon,, x3470,,
1,Intel Xeon X3470,2933,1,4,8,8,127,34.6,2010,intel,xeon,, x3470,,
1,Intel Xeon X5670,2933,2,12,24,12,265,76.4,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,265,76.5,2010,intel,xeon,, x5670,,
1,Intel Xeon X3470,2933,1,4,8,8,125,35.4,2011,intel,xeon,, x3470,,
4,Intel Xeon X5675,3067,8,48,96,48,"1,025",270,2011,intel,xeon,, x5675,,
4,Intel Xeon X5675,3067,8,48,96,96,"1,014",269,2011,intel,xeon,, x5675,,
4,Intel Xeon X5675,3067,8,48,96,96,"1,016",282,2011,intel,xeon,, x5675,,
1,AMD Opteron 6168,1900,4,48,48,32,524,192,2011,amd,opteron,, 6168,,
1,AMD Opteron 6176,2300,4,48,48,32,571,185,2011,amd,opteron,, 6176,,
1,AMD Opteron 6176,2300,2,24,24,16,295,97.3,2011,amd,opteron,, 6176,,
1,Intel Xeon X5675,3067,2,12,24,12,264,79.5,2011,intel,xeon,, x5675,,
1,Intel Xeon E3-1270,3400,1,4,8,8,102,21.4,2011,intel,xeon,, e3-1270,,
1,Intel Xeon E3-1270,3400,1,4,8,8,102,21.3,2011,intel,xeon,, e3-1270,,
1,Intel Xeon E3-1260L,2400,1,4,8,8,58,21.5,2011,intel,xeon,, e3-1260,l,
1,AMD Opteron 6238,2600,4,48,48,64,559,127,2012,amd,opteron,, 6238,,
1,AMD Opteron 6238,2600,2,24,24,32,290,89.8,2012,amd,opteron,, 6238,,
1,AMD Opteron 6276,2300,2,32,32,32,307,94.9,2012,amd,opteron,, 6276,,
1,AMD Opteron 6276,2300,4,64,64,64,588,130,2012,amd,opteron,, 6276,,
1,AMD Opteron 6276,2300,4,64,64,256,779,187,2012,amd,opteron,, 6276,,
1,AMD Opteron 6276,2300,4,64,64,256,713,177,2012,amd,opteron,, 6276,,
1,AMD Opteron 6278,2400,4,64,64,64,584,127,2012,amd,opteron,, 6278,,
1,AMD Opteron 6278,2400,4,64,64,256,786,186,2012,amd,opteron,, 6278,,
1,AMD Opteron 6278,2400,4,64,64,256,713,176,2012,amd,opteron,, 6278,,
1,Intel Xeon E5-2630,2300,2,12,24,128,325,99.6,2012,intel,xeon,, e5-2630,,
1,Intel Xeon E5-2640,2500,2,12,24,128,307,99.5,2012,intel,xeon,, e5-2640,,
1,Intel Xeon E5-2665,2400,2,16,32,128,409,103,2012,intel,xeon,, e5-2665,,
1,Intel Xeon E5-2640,2500,2,12,24,32,254,81.9,2012,intel,xeon,, e5-2640,,
1,Intel Xeon E5-2640,2500,2,12,24,32,255,83.5,2012,intel,xeon,, e5-2640,,
1,Intel Xeon E5-2665,2400,2,16,32,128,414,96.6,2012,intel,xeon,, e5-2665,,
1,Intel Xeon E5-2630,2300,2,12,24,128,323,96,2012,intel,xeon,, e5-2630,,
1,Intel Xeon E5-2640,2500,2,12,24,128,327,98.2,2012,intel,xeon,, e5-2640,,
1,Intel Xeon E5-2665,2400,2,16,32,128,409,103,2012,intel,xeon,, e5-2665,,
4,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,8,64,128,128,"1,275",331,2012,intel,xeon,, e5-2660,,
4,Intel Xeon E5-2670 2.6 GHz (Intel Turbo Boost Technology up to 3.30 GHz),2600,8,64,128,512,"1,700",364,2013,intel,xeon,, e5-2670,,
1,Intel Xeon E5-4650 2.7 GHz (Intel Turbo Boost Technology up to 3.30 GHz),2700,4,32,64,32,667,134,2013,intel,xeon,, e5-4650,,
1,AMD Opteron 6380,2500,4,64,64,64,581,149,2013,amd,opteron,, 6380,,
