processor_x,company_x,brand,make,model,moniker,version,Nodes,processor_y,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company_y,watts per thread idle,watts per thread max,watts per core idle,watts per core max,threads per core
Xeon E3-1220,,xeon,, e3-1220,,,1.0,Intel Xeon E3-1220,3100.0,1.0,4.0,4,8,92.8,22.4,2011.0,intel,5.6,23.2,5.6,23.2,1.0
Xeon E3-1260L,,xeon,, e3-1260,l,,1.0,Intel Xeon E3-1260L,2400.0,1.0,4.0,8,8,58,21.5,2011.0,intel,2.69,7.25,5.38,14.5,2.0
Xeon E3-1260L,,xeon,, e3-1260,l,,1.0,Intel Xeon E3-1260L,2400.0,1.0,4.0,8,8,53.6,16.8,2011.0,intel,2.1,6.7,4.2,13.4,2.0
Xeon E3-1260L,,xeon,, e3-1260,l,,1.0,Intel Xeon E3-1260L,2400.0,1.0,4.0,8,8,54,14.9,2011.0,intel,1.86,6.75,3.73,13.5,2.0
Xeon E3-1260L,,xeon,, e3-1260,l,,1.0,Intel Xeon E3-1260L,2400.0,1.0,4.0,8,8,57.2,17.8,2011.0,intel,2.23,7.15,4.45,14.3,2.0
Xeon E3-1265L,,xeon,, e3-1265,l,,12.0,Intel Xeon E3-1265LV2,2500.0,12.0,48.0,96,96,672,194,2013.0,intel,2.02,7.0,4.04,14.0,2.0
Xeon E3-1265L,,xeon,, e3-1265,l,,1.0,Intel Xeon E3-1265LV2,2500.0,1.0,4.0,8,8,59.5,19.1,2012.0,intel,2.39,7.44,4.78,14.88,2.0
Xeon E3-1265L,,xeon,, e3-1265,l,,1.0,Intel Xeon E3-1265LV2,2500.0,1.0,4.0,8,8,56.2,15.7,2012.0,intel,1.96,7.03,3.92,14.05,2.0
Xeon E3-1265L,,xeon,, e3-1265,l,,1.0,Intel Xeon E3-1265LV2,2500.0,1.0,4.0,8,8,55.3,18.9,2012.0,intel,2.36,6.91,4.72,13.82,2.0
Xeon E3-1265L,,xeon,, e3-1265,l,,1.0,Intel Xeon E3-1265Lv3,2500.0,1.0,4.0,8,8,58.5,19,2013.0,intel,2.38,7.31,4.75,14.63,2.0
Xeon E3-1265L,,xeon,, e3-1265,l,,1.0,Intel Xeon E3-1265Lv3,2500.0,1.0,4.0,8,8,69.8,17.7,2013.0,intel,2.21,8.72,4.42,17.45,2.0
Xeon E3-1265L,,xeon,, e3-1265,l,,1.0,Intel Xeon E3-1265LV3,2500.0,1.0,4.0,8,8,45.1,15.9,2013.0,intel,1.99,5.64,3.98,11.28,2.0
Xeon E3-1270,,xeon,, e3-1270,,,1.0,Intel Xeon E3-1270,3400.0,1.0,4.0,8,8,102,21.4,2011.0,intel,2.67,12.75,5.35,25.5,2.0
Xeon E3-1270,,xeon,, e3-1270,,,1.0,Intel Xeon E3-1270,3400.0,1.0,4.0,8,8,102,21.3,2011.0,intel,2.66,12.75,5.33,25.5,2.0
Xeon E3-1280,,xeon,, e3-1280,,,1.0,Intel Xeon E3-1280,3500.0,1.0,4.0,8,8,114,37.6,2011.0,intel,4.7,14.25,9.4,28.5,2.0
Xeon E3-1280,,xeon,, e3-1280,,,1.0,Intel Xeon E3-1280,3500.0,1.0,4.0,8,8,98.4,24.2,2011.0,intel,3.02,12.3,6.05,24.6,2.0
Xeon E5-2440,,xeon,, e5-2440,,,1.0,Intel Xeon E5-2440,2400.0,2.0,12.0,24,16,207,55.1,2012.0,intel,2.3,8.63,4.59,17.25,2.0
Xeon E5-2450,,xeon,, e5-2450,,,1.0,Intel Xeon E5-2450,2100.0,2.0,16.0,32,16,231,53.4,2012.0,intel,1.67,7.22,3.34,14.44,2.0
Xeon E5-2450L,,xeon,, e5-2450,l,,1.0,Intel Xeon E5-2450L,1800.0,2.0,16.0,32,16,167,54,2012.0,intel,1.69,5.22,3.38,10.44,2.0
Xeon E5-2470,,xeon,, e5-2470,,,16.0,Intel Xeon E5-2470 (Intel Turbo Boost Technology up to 3.10 GHz),2300.0,32.0,256.0,512,384,"4,026",713,2012.0,intel,1.39,7.86,2.79,15.73,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470 2.3GHz,2300.0,2.0,16.0,32,24,205,51.2,2012.0,intel,1.6,6.41,3.2,12.81,2.0
Xeon E5-2470,,xeon,, e5-2470,,,32.0,Intel Xeon E5-2470 (2.3 GHz),2300.0,64.0,512.0,1024,768,"6,854","1,773",2012.0,intel,1.73,6.69,3.46,13.39,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470 (Intel Turbo Boost Technology up to 3.10 GHz ),2300.0,2.0,16.0,32,24,264,47.9,2012.0,intel,1.5,8.25,2.99,16.5,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470 (Intel Turbo Boost Technology up to 3.10 GHz ),2300.0,2.0,16.0,32,24,263,53.3,2012.0,intel,1.67,8.22,3.33,16.44,2.0
Xeon E5-2470,,xeon,, e5-2470,,,16.0,Intel Xeon E5-2470 (2.30 GHz),2300.0,32.0,384.0,512,256,"4,078",732,2012.0,intel,1.43,7.96,1.91,10.62,1.33
Xeon E5-2470,,xeon,, e5-2470,,,18.0,Intel Xeon E5-2470,2300.0,36.0,288.0,576,432,"4,965","1,014",2012.0,intel,1.76,8.62,3.52,17.24,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470,2300.0,2.0,16.0,32,24,252,51.4,2012.0,intel,1.61,7.88,3.21,15.75,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470,2300.0,2.0,16.0,32,24,252,50.7,2012.0,intel,1.58,7.88,3.17,15.75,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470,2300.0,2.0,16.0,32,32,294,80.6,2012.0,intel,2.52,9.19,5.04,18.38,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470,2300.0,2.0,16.0,32,32,297,92.9,2012.0,intel,2.9,9.28,5.81,18.56,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470,2300.0,1.0,8.0,16,16,171,58.2,2012.0,intel,3.64,10.69,7.28,21.38,2.0
