processor,company,brand,make,model,moniker,version
Xeon E3-1105C,,xeon,,e3-1105,c,
Xeon E3-1125C,,xeon,,e3-1125,c,
Xeon E3-1220,,xeon,,e3-1220,,
Xeon E3-1220L,,xeon,,e3-1220,l,
Xeon E3-1225,,xeon,,e3-1225,,
Xeon E3-1230,,xeon,,e3-1230,,
Xeon E3-1235,,xeon,,e3-1235,,
Xeon E3-1240,,xeon,,e3-1240,,
Xeon E3-1245,,xeon,,e3-1245,,
Xeon E3-1260L,,xeon,,e3-1260,l,
Xeon E3-1265L,,xeon,,e3-1265,l,
Xeon E3-1270,,xeon,,e3-1270,,
Xeon E3-1275,,xeon,,e3-1275,,
Xeon E3-1280,,xeon,,e3-1280,,
Xeon E3-1290,,xeon,,e3-1290,,
Xeon E5-1410,,xeon,,e5-1410,,
Xeon E5-1428L,,xeon,,e5-1428,l,
Xeon E5-2403,,xeon,,e5-2403,,
Xeon E5-2407,,xeon,,e5-2407,,
Xeon E5-2418L,,xeon,,e5-2418,l,
Xeon E5-2420,,xeon,,e5-2420,,
Xeon E5-2428L,,xeon,,e5-2428,l,
Xeon E5-2430,,xeon,,e5-2430,,
Xeon E5-2430L,,xeon,,e5-2430,l,
Xeon E5-2440,,xeon,,e5-2440,,
Xeon E5-2448L,,xeon,,e5-2448,l,
Xeon E5-2449L,,xeon,,e5-2449,l,
Xeon E5-2450,,xeon,,e5-2450,,
Xeon E5-2450L,,xeon,,e5-2450,l,
Xeon E5-2470,,xeon,,e5-2470,,
Xeon E5-1603,,xeon,,e5-1603,,
Xeon E5-1607,,xeon,,e5-1607,,
Xeon E5-1620,,xeon,,e5-1620,,
Xeon E5-1650,,xeon,,e5-1650,,
Xeon E5-1660,,xeon,,e5-1660,,
Xeon E5-2637,,xeon,,e5-2637,,
Xeon E5-2603,,xeon,,e5-2603,,
Xeon E5-2609,,xeon,,e5-2609,,
Xeon E5-2618L,,xeon,,e5-2618,l,
Xeon E5-2620,,xeon,,e5-2620,,
Xeon E5-2628L,,xeon,,e5-2628,l,
Xeon E5-2630,,xeon,,e5-2630,,
Xeon E5-2630L,,xeon,,e5-2630,l,
Xeon E5-2640,,xeon,,e5-2640,,
Xeon E5-2643,,xeon,,e5-2643,,
Xeon E5-2648L,,xeon,,e5-2648,l,
Xeon E5-2650,,xeon,,e5-2650,,
Xeon E5-2650L,,xeon,,e5-2650,l,
Xeon E5-2658,,xeon,,e5-2658,,
Xeon E5-2660,,xeon,,e5-2660,,
Xeon E5-2665,,xeon,,e5-2665,,
Xeon E5-2667,,xeon,,e5-2667,,
Xeon E5-2670,,xeon,,e5-2670,,
Xeon E5-2680,,xeon,,e5-2680,,
Xeon E5-2687W,,xeon,,e5-2687,w,
Xeon E5-2689,,xeon,,e5-2689,,
Xeon E5-2690,,xeon,,e5-2690,,
Xeon E5-4603,,xeon,,e5-4603,,
Xeon E5-4607,,xeon,,e5-4607,,
Xeon E5-4610,,xeon,,e5-4610,,
Xeon E5-4617,,xeon,,e5-4617,,
Xeon E5-4620,,xeon,,e5-4620,,
Xeon E5-4640,,xeon,,e5-4640,,
Xeon E5-4650,,xeon,,e5-4650,,
Xeon E5-4650L,,xeon,,e5-4650,l,
