processor_x,company_x,brand,make,model,moniker,version,Nodes,processor_y,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company_y,watts per thread idle,watts per thread max,watts per core idle,watts per core max,threads per core
Xeon E3-1260L v5,,xeon,,e3-1260,l,v5,1.0,Intel Xeon E3-1260L v5,2900.0,1.0,4.0,8.0,16.0,44.7,11.6,2015.0,intel,1.45,5.59,2.9,11.18,2.0
Xeon E3-1260L v5,,xeon,,e3-1260,l,v5,1.0,Intel Xeon E3-1260L v5,2900.0,1.0,4.0,8.0,16.0,47.7,16.0,2015.0,intel,2.0,5.96,4.0,11.93,2.0
Xeon E3-1240L v5,,xeon,,e3-1240,l,v5,1.0,Intel Xeon E3-1240L v5,2100.0,1.0,4.0,8.0,16.0,47.2,16.1,2016.0,intel,2.01,5.9,4.03,11.8,2.0
Xeon Gold 5117,,xeon,gold,5117,,,1.0,Intel Xeon Gold 5117,2000.0,2.0,28.0,56.0,192.0,245.0,51.9,2018.0,intel,0.93,4.38,1.85,8.75,2.0
Xeon Gold 6136,,xeon,gold,6136,,,1.0,Intel(R) Xeon(R) Gold 6136 CPU @ 3.00GHz,3000.0,2.0,24.0,48.0,196.0,432.0,131.0,2020.0,intel,2.73,9.0,5.46,18.0,2.0
Xeon Gold 6140,,xeon,gold,6140,,,1.0,Intel Xeon Gold 6140,2300.0,2.0,36.0,72.0,192.0,343.0,52.4,2018.0,intel,0.73,4.76,1.46,9.53,2.0
Xeon Gold 6152,,xeon,gold,6152,,,1.0,Intel Xeon Gold 6152,2100.0,2.0,44.0,88.0,192.0,364.0,53.1,2018.0,intel,0.6,4.14,1.21,8.27,2.0
Xeon Platinum 8160,,xeon,platinum,8160,,,1.0,Intel Xeon Platinum 8160,2100.0,2.0,48.0,96.0,192.0,387.0,53.4,2018.0,intel,0.56,4.03,1.11,8.06,2.0
Xeon Platinum 8176,,xeon,platinum,8176,,,1.0,Intel Xeon Platinum 8176,2100.0,2.0,56.0,112.0,192.0,461.0,49.6,2017.0,intel,0.44,4.12,0.89,8.23,2.0
Xeon Platinum 8176,,xeon,platinum,8176,,,1.0,Intel Xeon Platinum 8176,2100.0,2.0,56.0,112.0,192.0,454.0,49.4,2018.0,intel,0.44,4.05,0.88,8.11,2.0
Xeon Platinum 8176,,xeon,platinum,8176,,,1.0,Intel Xeon Platinum 8176,2100.0,4.0,112.0,224.0,384.0,726.0,158.0,2018.0,intel,0.71,3.24,1.41,6.48,2.0
Xeon Platinum 8176,,xeon,platinum,8176,,,1.0,Intel Xeon Platinum 8176 CPU 2.10 GHz (Intel Turbo Boost Technology up to 2.80 GHz),2100.0,2.0,56.0,112.0,192.0,458.0,51.3,2018.0,intel,0.46,4.09,0.92,8.18,2.0
Xeon Platinum 8176,,xeon,platinum,8176,,,1.0,Intel Xeon Platinum 8176 CPU 2.10 GHz (Intel Turbo Boost Technology up to 2.80 GHz),2100.0,2.0,56.0,112.0,192.0,357.0,57.7,2017.0,intel,0.52,3.19,1.03,6.38,2.0
Xeon Platinum 8176,,xeon,platinum,8176,,,4.0,Intel Xeon Platinum 8176,2100.0,8.0,224.0,448.0,768.0,,256.0,2017.0,intel,0.57,,1.14,,2.0
Xeon Platinum 8176,,xeon,platinum,8176,,,1.0,Intel Xeon Platinum 8176 CPU 2.10 GHz (Intel Turbo Boost Technology up to 2.80 GHz),2100.0,4.0,112.0,224.0,384.0,688.0,95.8,2017.0,intel,0.43,3.07,0.86,6.14,2.0
Xeon Platinum 8176,,xeon,platinum,8176,,,1.0,Intel Xeon Platinum 8176 CPU 2.10 GHz (Intel Turbo Boost Technology up to 2.80 GHz),2100.0,1.0,28.0,56.0,96.0,183.0,45.6,2017.0,intel,0.81,3.27,1.63,6.54,2.0
Xeon Platinum 8176,,xeon,platinum,8176,,,14.0,Intel Xeon Platinum 8176,2100.0,28.0,784.0,1568.0,2688.0,,,2017.0,intel,,,,,2.0
Xeon Platinum 8176,,xeon,platinum,8176,,,4.0,Intel Xeon Platinum 8176,2100.0,8.0,224.0,448.0,768.0,,241.0,2018.0,intel,0.54,,1.08,,2.0
Xeon Platinum 8176,,xeon,platinum,8176,,,7.0,Intel Xeon Platinum 8176,2100.0,28.0,784.0,1568.0,2688.0,,820.0,2018.0,intel,0.52,,1.05,,2.0
Xeon Platinum 8176,,xeon,platinum,8176,,,1.0,Intel Xeon Platinum 8176,2100.0,8.0,224.0,448.0,768.0,,182.0,2018.0,intel,0.41,,0.81,,2.0
Xeon Platinum 8176,,xeon,platinum,8176,,,1.0,Intel Xeon Platinum 8176,2100.0,2.0,56.0,112.0,192.0,352.0,67.7,2019.0,intel,0.6,3.14,1.21,6.29,2.0
