processor,company,brand,make,model,moniker,version
Xeon D-2141I,,xeon,, d-2141,i,
Xeon D-2161I,,xeon,, d-2161,i,
Xeon D-2191,,xeon,, d-2191,,
Xeon D-2123IT,,xeon,, d-2123,i,
Xeon D-2142IT,,xeon,, d-2142,i,
Xeon D-2143IT,,xeon,, d-2143,i,
Xeon D-2163IT,,xeon,, d-2163,i,
Xeon D-2173IT,,xeon,, d-2173,i,
Xeon D-2183IT,,xeon,, d-2183,i,
Xeon D-2145NT,,xeon,, d-2145,n,
Xeon D-2146NT,,xeon,, d-2146,n,
Xeon D-2166NT,,xeon,, d-2166,n,
Xeon D-2177NT,,xeon,, d-2177,n,
Xeon D-2187NT,,xeon,, d-2187,n,
Xeon E3-1220 v5,,xeon,, e3-1220,, v5
Xeon E3-1225 v5,,xeon,, e3-1225,, v5
Xeon E3-1230 v5,,xeon,, e3-1230,, v5
Xeon E3-1240 v5,,xeon,, e3-1240,, v5
Xeon E3-1245 v5,,xeon,, e3-1245,, v5
Xeon E3-1270 v5,,xeon,, e3-1270,, v5
Xeon E3-1275 v5,,xeon,, e3-1275,, v5
Xeon E3-1280 v5,,xeon,, e3-1280,, v5
Xeon E3-1260L v5,,xeon,, e3-1260,l, v5
Xeon E3-1268L v5,,xeon,, e3-1268,l, v5
Xeon E3-1235L v5,,xeon,, e3-1235,l, v5
Xeon E3-1240L v5,,xeon,, e3-1240,l, v5
Xeon E3-1585 v5,,xeon,, e3-1585,, v5
Xeon E3-1505M v5,,xeon,, e3-1505,m, v5
Xeon E3-1515M v5,,xeon,, e3-1515,m, v5
Xeon E3-1535M v5,,xeon,, e3-1535,m, v5
Xeon E3-1545M v5,,xeon,, e3-1545,m, v5
Xeon E3-1575M v5,,xeon,, e3-1575,m, v5
Xeon E3-1565L v5,,xeon,, e3-1565,l, v5
Xeon E3-1585L v5,,xeon,, e3-1585,l, v5
Xeon E3-1505L v5,,xeon,, e3-1505,l, v5
Xeon E3-1558L v5,,xeon,, e3-1558,l, v5
Xeon E3-1578L v5,,xeon,, e3-1578,l, v5
Xeon W-2102,,xeon,, w-2102,,
Xeon W-2104,,xeon,, w-2104,,
Xeon W-2123,,xeon,, w-2123,,
Xeon W-2125,,xeon,, w-2125,,
Xeon W-2133,,xeon,, w-2133,,
Xeon W-2135,,xeon,, w-2135,,
Xeon W-2140B,,xeon,, w-2140,b,
Xeon W-2145,,xeon,, w-2145,,
Xeon W-2150B,,xeon,, w-2150,b,
Xeon W-2155,,xeon,, w-2155,,
Xeon W-2175,,xeon,, w-2175,,
Xeon W-2190B,,xeon,, w-2190,b,
Xeon W-2195,,xeon,, w-2195,,
Xeon W-3175X,,xeon,, w-3175,x,
Xeon Bronze 3104,,xeon,, 3104,,
Xeon Bronze 3106,,xeon,, 3106,,
Xeon Silver 4106H,,xeon,silver, 4106,h,
Xeon Silver 4108,,xeon,silver, 4108,,
Xeon Silver 4109T,,xeon,silver, 4109,t,
Xeon Silver 4110,,xeon,silver, 4110,,
Xeon Silver 4112,,xeon,silver, 4112,,
Xeon Silver 4114,,xeon,silver, 4114,,
Xeon Silver 4114T,,xeon,silver, 4114,t,
Xeon Silver 4116,,xeon,silver, 4116,,
Xeon Silver 4116T,,xeon,silver, 4116,t,
Xeon Silver 4123,,xeon,silver, 4123,,
Xeon Gold 5115,,xeon,gold, 5115,,
Xeon Gold 5117,,xeon,gold, 5117,,
Xeon Gold 5117F,,xeon,gold, 5117,f,
Xeon Gold 5118,,xeon,gold, 5118,,
Xeon Gold 5119T,,xeon,gold, 5119,t,
Xeon Gold 5120,,xeon,gold, 5120,,
Xeon Gold 5120T,,xeon,gold, 5120,t,
Xeon Gold 5122,,xeon,gold, 5122,,
Xeon Gold 6122,,xeon,gold, 6122,,
Xeon Gold 6126,,xeon,gold, 6126,,
Xeon Gold 6126F,,xeon,gold, 6126,f,
Xeon Gold 6126T,,xeon,gold, 6126,t,
Xeon Gold 6127M,,xeon,gold, 6127,m,
